,LIWC_neg,LIWC_pos,SentiWordNet_neg,SentiWordNet_pos,GI_neg,GI_pos,SenticNet_neg,SenticNet_pos,ANEW,EL,Source
extravagant,0.0,0.0,0.375,0.125,1.0,0.0,-0.85,0.0,,5.97,2020
extraverted,0.0,0.0,0.125,0.125,,,,,,,2020
extreme,0.0,0.0,0.0,0.125,,,,,,4.28,2020
extrovert,0.0,0.0,0.0,0.0,,,0.0,0.229,,,2020
extroverted,0.0,0.0,0.0,0.0,,,,,,,2020
fabulous,0.0,1.0,0.125,0.875,0.0,1.0,,,,7.8,2020
fair,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.129,,,2020
faithful,0.0,1.0,0.0,0.375,0.0,1.0,-0.87,0.0,,,2020
fake,1.0,0.0,0.5,0.125,1.0,0.0,-0.81,0.0,,1.71,2020
family,0.0,0.0,0.0,0.0,,,0.0,0.883,7.65,,2020
family_man,0.0,0.0,0.0,0.125,,,,,,,2020
family_member,0.0,0.0,0.0,0.0,,,-0.64,0.0,,,2020
famous,0.0,0.0,0.0,0.375,0.0,1.0,0.0,0.919,6.98,6.88,2020
fan,0.0,0.0,0.0,0.0,,,0.0,0.114,,,2020
fanatic,0.0,0.0,0.125,0.125,1.0,0.0,-0.35,0.0,,,2020
fancy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,,,2020
farmer,0.0,0.0,0.0,0.0,,,0.0,0.875,,,2020
fascinating,0.0,0.0,0.0,0.25,,,0.0,0.9,,7.7,2020
fashion,0.0,0.0,0.0,0.0,,,0.0,0.046,,,2020
fashion_conscious,0.0,0.0,0.0,0.0,,,,,,,2020
fashion_designer,0.0,0.0,0.0,0.0,,,0.0,0.046,,,2020
fashion_forward,0.0,0.0,0.0,0.0,,,,,,,2020
fashionable,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.442,,6.86,2020
fashioner,0.0,0.0,0.0,0.0,,,0.0,0.45,,,2020
fashionist,0.0,0.0,0.0,0.0,,,,,,,2020
fashionista,0.0,0.0,0.0,0.0,,,0.0,0.858,,,2020
fast,0.0,0.0,0.0,0.0,,,0.0,0.145,,,2020
fat,0.0,0.0,0.0,0.0,1.0,0.0,-0.98,0.0,2.28,,2020
father,0.0,0.0,0.0,0.0,,,0.0,0.324,7.08,,2020
fearless,0.0,1.0,0.125,0.25,0.0,1.0,0.0,0.283,,7.08,2020
female,0.0,0.0,0.0,0.0,,,,,,,2020
feminine,0.0,0.0,0.0,0.0,,,-0.24,0.0,,,2020
feminist,0.0,0.0,0.0,0.0,,,,,,,2020
fierce,0.0,0.0,0.25,0.25,1.0,0.0,-0.2,0.0,,,2020
fighter,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.343,,,2020
figure,0.0,0.0,0.0,0.0,,,,,,,2020
financially,0.0,0.0,0.0,0.0,,,0.0,0.08,,,2020
finder,0.0,0.0,0.0,0.0,,,,,,,2020
fine,0.0,1.0,0.125,0.0,0.0,1.0,0.0,0.9,,,2020
fisher,0.0,0.0,0.0,0.0,,,,,,,2020
fisherman,0.0,0.0,0.0,0.0,,,0.0,0.408,,,2020
fit,0.0,0.0,0.5,0.0,0.0,1.0,,,,,2020
fitness,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.17,,,2020
flamboyant,0.0,0.0,0.0,0.0,,,-0.17,0.0,,,2020
flashy,0.0,0.0,0.5,0.0,0.0,1.0,-0.75,0.0,,,2020
flexible,0.0,1.0,0.0,0.375,0.0,1.0,0.0,0.9,,,2020
flirtatious,0.0,1.0,0.0,0.25,,,,,,,2020
flirty,0.0,1.0,0.0,0.0,,,,,,,2020
focused,0.0,0.0,0.0,0.125,,,,,,,2020
follower,0.0,0.0,0.0,0.0,,,0.0,0.287,,,2020
following,0.0,0.0,0.0,0.0,,,,,,,2020
foodie,0.0,0.0,0.0,0.375,,,0.0,0.24,,,2020
fool,1.0,0.0,0.0,0.625,1.0,0.0,-0.84,0.0,,1.75,2020
foolish,1.0,0.0,0.0,0.625,1.0,0.0,-0.64,0.0,,1.91,2020
football_player,0.0,0.0,0.0,0.0,,,,,,,2020
foreigner,0.0,0.0,0.0,0.0,,,-0.18,0.0,,,2020
formal,0.0,0.0,0.0,0.0,,,0.0,0.855,,,2020
fortunate,0.0,0.0,0.0,0.75,0.0,1.0,0.0,0.299,,7.55,2020
forward,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2020
forward_thinking,0.0,0.0,0.0,0.0,,,,,,,2020
fratboy,0.0,0.0,0.0,0.0,,,,,,,2020
freak,1.0,0.0,0.125,0.0,1.0,0.0,-0.87,0.0,,,2020
free,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,8.26,,2020
free_spirit,0.0,0.0,0.0,0.375,,,,,,,2020
freethinker,0.0,1.0,0.0,0.0,,,-0.12,0.0,,,2020
fresh,0.0,0.0,0.625,0.375,0.0,1.0,0.0,0.795,,7.2,2020
friend,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.298,7.74,,2020
friendly,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.887,8.43,7.88,2020
frivolous,0.0,0.0,0.75,0.0,1.0,0.0,-0.18,0.0,,,2020
frugal,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.177,,,2020
fun,0.0,1.0,0.0,0.375,0.0,1.0,0.0,0.858,8.37,7.84,2020
functional,0.0,0.0,0.0,0.5,,,0.0,0.819,,,2020
funloving,0.0,0.0,0.0,0.0,,,,,,,2020
funny,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,,,2020
fussy,0.0,0.0,0.625,0.0,1.0,0.0,-0.81,0.0,,,2020
gambler,0.0,0.0,0.0,0.0,,,-0.11,0.0,,,2020
gamer,0.0,0.0,0.5,0.0,,,,,,,2020
gangster,0.0,0.0,0.0,0.0,,,-0.23,0.0,,,2020
gaudy,0.0,0.0,0.0,0.0,1.0,0.0,-0.76,0.0,,,2020
gay,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.361,,,2020
geek,1.0,0.0,0.25,0.0,,,-0.96,0.0,,,2020
generic,0.0,0.0,0.0,0.0,,,,,,,2020
generous,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.936,,,2020
genius,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.283,,,2020
gentle,0.0,1.0,0.0,0.875,0.0,1.0,0.0,0.806,7.31,7.19,2020
gentleman,0.0,0.0,0.0,0.125,,,0.0,0.036,,,2020
genuine,0.0,0.0,0.636,0.364,0.0,1.0,0.0,0.194,,7.97,2020
getter,0.0,0.0,0.0,0.0,,,,,,,2020
girl,0.0,0.0,0.0,0.0,,,,,6.87,,2020
girlfriend,0.0,0.0,0.0,0.0,,,-0.23,0.0,,,2020
girly,0.0,0.0,0.0,0.0,,,0.0,0.006,,,2020
glamorous,0.0,1.0,0.0,0.375,0.0,1.0,,,,7.47,2020
global,0.0,0.0,0.375,0.0,,,,,,,2020
goal,0.0,0.0,0.0,0.0,,,0.0,0.826,,,2020
going,0.0,0.0,0.0,0.0,,,,,,,2020
golddigger,0.0,0.0,0.0,0.0,,,,,,,2020
golfer,0.0,0.0,0.0,0.0,,,,,5.61,,2020
good,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.191,7.47,,2020
good_taste,0.0,0.0,0.0,0.0,,,,,,,2020
goodlooking,0.0,0.0,0.0,0.0,,,,,,,2020
goofy,0.0,0.0,0.0,0.0,,,-0.83,0.0,,,2020
gorgeous,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.83,,7.81,2020
graceful,0.0,1.0,0.125,0.5,0.0,1.0,0.0,0.817,,7.29,2020
graduate,0.0,0.0,0.0,0.0,,,0.0,0.085,8.19,,2020
grandfather,0.0,0.0,0.0,0.0,,,,,,,2020
grandma,0.0,0.0,0.0,0.0,,,0.0,0.804,,,2020
grandmother,0.0,0.0,0.0,0.0,,,0.0,0.804,,,2020
grandpa,0.0,0.0,0.0,0.0,,,,,,,2020
grandparent,0.0,0.0,0.0,0.0,,,0.0,0.81,,,2020
great,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.857,,7.79,2020
greedy,1.0,0.0,0.0,0.0,,,-0.1,0.0,,1.24,2020
gregarious,0.0,0.0,0.0,0.0,,,,,,,2020
groomed,0.0,0.0,0.0,0.0,,,0.0,0.373,,,2020
gross,1.0,0.0,0.0,0.0,,,-0.87,0.0,,1.11,2020
grounded,0.0,0.0,0.0,0.0,,,,,,,2020
group,0.0,0.0,0.0,0.0,,,,,,,2020
gullible,0.0,0.0,0.25,0.5,1.0,0.0,0.0,0.05,,,2020
guru,0.0,0.0,0.0,0.0,,,,,,,2020
guy,0.0,0.0,0.0,0.0,,,,,,,2020
gym,0.0,0.0,0.0,0.0,,,,,,,2020
gym_rat,0.0,0.0,0.0,0.0,,,,,,,2020
gymgoer,0.0,0.0,0.0,0.0,,,,,,,2020
gymnast,0.0,0.0,0.0,0.0,,,0.0,0.931,6.35,,2020
handsome,0.0,1.0,0.0,0.625,0.0,1.0,0.0,0.948,7.93,7.97,2020
handy,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.849,,6.68,2020
happy,0.0,1.0,0.0,0.875,0.0,1.0,0.0,0.225,8.21,7.89,2020
hard,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.059,5.22,2.84,2020
hard_worker,0.0,0.0,0.125,0.0,,,-0.07,0.0,,,2020
hardworking,0.0,0.0,0.375,0.25,,,,,,7.28,2020
hater,1.0,0.0,0.25,0.0,1.0,0.0,-0.64,0.0,,1.28,2020
haughty,0.0,0.0,0.25,0.625,1.0,0.0,-0.82,0.0,,,2020
health,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.25,6.81,,2020
health_conscious,0.0,0.0,0.0,0.0,,,,,,,2020
healthy,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.062,,8.22,2020
hedonist,0.0,0.0,0.0,0.375,,,-0.77,0.0,,,2020
hedonistic,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.13,,,2020
heir,0.0,0.0,0.0,0.0,,,-0.05,0.0,,,2020
heiress,0.0,0.0,0.0,0.0,,,,,,,2020
helper,0.0,1.0,0.0,0.0,,,0.0,0.736,,,2020
helpful,0.0,1.0,0.0,0.25,0.0,1.0,-0.94,0.0,,7.52,2020
herd,0.0,0.0,0.0,0.0,,,-0.86,0.0,,,2020
hero,0.0,1.0,0.125,0.5,0.0,1.0,0.0,0.9,,8.0,2020
high,0.0,0.0,0.0,0.125,,,0.0,0.085,,,2020
high_class,0.0,0.0,0.0,0.0,,,,,,,2020
high_end,0.0,0.0,0.0,0.0,,,,,,,2020
high_fashion,0.0,0.0,0.0,0.0,,,,,,,2020
high_maintenance,0.0,0.0,0.0,0.0,,,,,,,2020
high_quality,0.0,0.0,0.0,0.75,,,0.0,0.9,,,2020
high_society,0.0,0.0,0.0,0.0,,,,,,,2020
high_status,0.0,0.0,0.0,0.5,,,0.0,0.288,,,2020
highbrow,0.0,0.0,0.0,0.125,,,0.0,0.724,,,2020
higher,0.0,0.0,0.125,0.5,,,0.0,0.085,,,2020
highschooler,0.0,0.0,0.0,0.0,,,,,,,2020
hiker,0.0,0.0,0.0,0.0,,,,,,,2020
hip,0.0,0.0,0.0,0.0,,,,,,,2020
hippie,0.0,0.0,0.0,0.0,,,-0.17,0.0,,,2020
hippy,0.0,0.0,0.0,0.0,,,-0.2,0.0,,,2020
hipster,0.0,0.0,0.0,0.0,,,-0.96,0.0,,,2020
hobbyist,0.0,0.0,0.0,0.0,,,0.0,0.17,,,2020
homebody,0.0,0.0,0.625,0.0,,,-0.78,0.0,,,2020
homemaker,0.0,0.0,0.0,0.0,,,,,,,2020
homosexual,0.0,0.0,0.0,0.125,,,0.0,0.361,,,2020
honest,0.0,1.0,0.0,0.375,0.0,1.0,0.0,0.164,7.7,,2020
hopeful,0.0,1.0,0.0,0.125,0.0,1.0,0.0,0.232,7.1,,2020
horrible,1.0,0.0,0.625,0.0,1.0,0.0,-0.93,0.0,,0.84,2020
horse,0.0,0.0,0.0,0.0,,,,,5.89,,2020
hot,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.728,,,2020
hound,0.0,0.0,0.0,0.0,,,-0.17,0.0,,,2020
housewife,0.0,0.0,0.0,0.0,,,0.0,0.03,,,2020
humble,0.0,0.0,0.375,0.0,0.0,1.0,-0.22,0.0,5.86,6.6,2020
hungry,0.0,0.0,0.125,0.125,1.0,0.0,0.0,0.821,3.58,,2020
hunter,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.823,,,2020
husband,0.0,0.0,0.0,0.0,,,,,,,2020
hustler,0.0,0.0,0.0,0.0,1.0,0.0,,,,,2020
hype,0.0,0.0,0.0,0.125,,,0.0,0.892,,,2020
hypebeast,0.0,0.0,0.0,0.0,,,,,,,2020
hyper,0.0,0.0,0.0,0.0,,,0.0,0.756,,,2020
icon,0.0,0.0,0.0,0.0,,,-0.01,0.0,,,2020
iconic,0.0,0.0,0.0,0.0,,,0.0,0.927,,6.83,2020
idealistic,0.0,1.0,0.0,0.0,,,0.0,0.814,,,2020
idiot,1.0,0.0,0.125,0.0,1.0,0.0,-0.06,0.0,3.16,0.83,2020
idol,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.94,6.12,,2020
ignorant,1.0,0.0,0.5,0.0,1.0,0.0,-0.64,0.0,,1.12,2020
image,0.0,0.0,0.0,0.0,,,0.0,0.928,,,2020
imaginative,0.0,0.0,0.0,0.375,0.0,1.0,0.0,0.842,,7.32,2020
immature,0.0,0.0,0.125,0.0,1.0,0.0,-0.81,0.0,3.39,2.0,2020
important,0.0,1.0,0.0,0.875,0.0,1.0,0.0,0.9,,,2020
impressionable,0.0,1.0,0.0,0.5,,,0.0,0.806,,,2020
impressive,0.0,1.0,0.0,0.125,0.0,1.0,0.0,0.249,,7.48,2020
impulsive,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.917,,,2020
inactive,0.0,0.0,0.625,0.0,,,-0.01,0.0,,,2020
inclined,0.0,0.0,0.125,0.5,,,,,,,2020
income,0.0,0.0,0.0,0.0,,,0.0,0.919,,,2020
independant,0.0,0.0,0.0,0.0,,,,,,,2020
independent,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.865,,,2020
individual,0.0,0.0,0.0,0.0,,,0.0,0.082,,,2020
individualist,0.0,0.0,0.0,0.0,,,-0.78,0.0,,,2020
individualistic,0.0,0.0,0.5,0.125,,,-0.78,0.0,,,2020
indulgent,0.0,0.0,0.25,0.5,,,-0.64,0.0,,,2020
industrious,0.0,0.0,0.375,0.25,0.0,1.0,,,,,2020
inexpensive,0.0,0.0,0.25,0.0,0.0,1.0,-0.82,0.0,,5.33,2020
influenced,0.0,0.0,0.0,0.0,,,,,,,2020
influencer,0.0,0.0,0.0,0.0,,,,,,,2020
influential,0.0,0.0,0.0,0.125,,,0.0,0.337,,,2020
informed,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
innovative,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.793,,7.85,2020
innovator,0.0,0.0,0.0,0.0,,,0.0,0.768,,,2020
inquisitive,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.91,,,2020
insecure,1.0,0.0,0.375,0.125,1.0,0.0,-0.97,0.0,2.36,1.76,2020
inspiring,0.0,1.0,0.0,0.125,,,,,,8.11,2020
instagram,0.0,0.0,0.0,0.0,,,,,,,2020
instagrammer,0.0,0.0,0.0,0.0,,,,,,,2020
instructor,0.0,0.0,0.0,0.0,,,,,,,2020
intellect,0.0,1.0,0.0,0.375,0.0,1.0,-0.44,0.0,6.82,,2020
intellectual,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.83,,,2020
intelligent,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.74,,8.0,2020
intense,0.0,0.0,0.25,0.125,,,0.0,0.9,,,2020
interested,0.0,1.0,0.0,0.125,0.0,1.0,0.0,0.945,,,2020
interesting,0.0,1.0,0.0,0.125,,,0.0,0.084,,,2020
international,0.0,0.0,0.0,0.0,,,,,,,2020
intriguing,0.0,0.0,0.0,0.25,,,0.0,0.084,,7.23,2020
introvert,0.0,0.0,0.0,0.0,,,-0.66,0.0,,,2020
intuitive,0.0,0.0,0.0,0.0,,,-0.32,0.0,,,2020
investigator,0.0,0.0,0.0,1.0,,,-0.83,0.0,,,2020
investor,0.0,0.0,0.0,0.0,,,0.0,0.445,,,2020
involved,0.0,0.0,0.0,0.0,,,,,,,2020
italian,0.0,0.0,0.0,0.0,,,,,,,2020
jerk,1.0,0.0,0.0,0.125,1.0,0.0,-0.83,0.0,,1.25,2020
jock,0.0,0.0,0.0,0.0,,,-0.64,0.0,,,2020
jogger,0.0,0.0,0.0,0.0,,,,,,,2020
joyful,0.0,1.0,0.625,0.125,0.0,1.0,0.0,0.819,8.22,8.15,2020
judgmental,0.0,0.0,0.0,0.5,,,-0.04,0.0,,,2020
junkie,0.0,0.0,0.0,0.0,,,-0.06,0.0,,,2020
junky,0.0,0.0,0.0,0.0,,,,,,1.44,2020
kept,0.0,0.0,0.0,0.0,,,,,,,2020
kid,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2020
kind,0.0,1.0,0.0,0.0,0.0,1.0,,,7.59,,2020
knowledgable,0.0,0.0,0.0,0.0,,,0.0,0.254,,,2020
knowledge,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,7.58,,2020
knowledgeable,0.0,0.0,0.0,0.25,,,0.0,0.254,,7.71,2020
known,0.0,0.0,0.0,0.0,,,,,,,2020
label,0.0,0.0,0.0,0.0,,,0.0,0.841,,,2020
laborer,0.0,0.0,0.0,0.0,,,0.0,0.938,,,2020
lacking,0.0,0.0,0.0,0.125,,,-0.94,0.0,,2.68,2020
lady,0.0,0.0,0.0,0.0,,,,,,,2020
laidback,0.0,1.0,0.0,0.0,,,0.0,0.887,,5.68,2020
lame,1.0,0.0,0.0,0.0,1.0,0.0,-0.88,0.0,,1.59,2020
large,0.0,0.0,0.0,0.0,,,0.0,0.835,,,2020
lavish,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.772,6.21,6.14,2020
lawyer,0.0,0.0,0.0,0.0,,,,,,,2020
lazy,1.0,0.0,0.0,0.0,1.0,0.0,-0.82,0.0,4.38,,2020
leader,0.0,0.0,0.0,0.0,,,-0.9,0.0,7.63,,2020
lean,0.0,0.0,0.0,0.0,,,-0.15,0.0,,,2020
learner,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.448,,,2020
legend,0.0,0.0,0.0,0.0,,,0.0,0.9,6.39,,2020
liberal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.907,,,2020
life,0.0,0.0,0.0,0.0,,,,,7.27,,2020
light,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,,,2020
lighthearted,0.0,0.0,0.0,0.625,,,0.0,0.895,,6.29,2020
likable,0.0,0.0,0.375,0.125,0.0,1.0,0.0,0.77,,,2020
like,0.0,0.0,0.0,0.125,0.0,1.0,,,,,2020
likeable,0.0,1.0,0.375,0.125,,,0.0,0.293,,,2020
liked,0.0,1.0,0.0,0.125,,,0.0,0.766,,7.59,2020
limited,0.0,0.0,0.0,0.0,,,,,,,2020
lively,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.27,7.2,7.16,2020
loaded,0.0,0.0,0.0,0.0,,,,,,,2020
logical,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.823,,,2020
loner,1.0,0.0,0.0,0.0,1.0,0.0,,,,,2020
looker,0.0,0.0,0.0,0.25,,,0.0,0.849,,,2020
looking,0.0,0.0,0.0,0.125,,,,,,,2020
loser,1.0,0.0,0.375,0.0,1.0,0.0,-0.12,0.0,2.25,0.86,2020
loud,0.0,0.0,0.125,0.375,,,-0.64,0.0,,,2020
lovable,0.0,0.0,0.0,0.625,,,0.0,0.9,,8.0,2020
love,0.0,1.0,0.0,0.625,0.0,1.0,0.0,0.83,8.72,8.27,2020
loved,0.0,1.0,0.0,0.5,,,0.0,0.109,8.64,8.12,2020
lovely,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.311,,7.92,2020
lover,0.0,1.0,0.0,0.0,0.0,1.0,,,,,2020
loving,0.0,1.0,0.0,0.5,,,0.0,0.287,,7.88,2020
low,1.0,0.0,0.0,0.0,1.0,0.0,-0.79,0.0,,,2020
low_class,0.0,0.0,0.0,0.0,,,,,,,2020
low_income,0.0,0.0,0.0,0.0,,,-0.91,0.0,,,2020
lower_class,0.0,0.0,0.0,0.0,,,,,,,2020
loyal,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.907,7.55,,2020
loyalist,0.0,0.0,0.0,0.0,,,-0.15,0.0,,,2020
lucky,0.0,1.0,0.0,0.75,0.0,1.0,0.0,0.9,8.17,,2020
luxurious,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.13,,7.65,2020
luxury,0.0,0.0,0.25,0.375,0.0,1.0,0.0,0.17,7.88,,2020
macho,0.0,0.0,0.5,0.375,,,-0.64,0.0,,,2020
mainstream,0.0,0.0,0.0,0.0,,,,,,,2020
male,0.0,0.0,0.0,0.0,,,,,,,2020
mall,0.0,0.0,0.0,0.0,,,,,,,2020
man,0.0,0.0,0.0,0.0,,,,,6.73,,2020
manager,0.0,0.0,0.0,0.0,,,,,,,2020
manly,0.0,0.0,0.125,0.5,0.0,1.0,0.0,0.746,,,2020
mannered,0.0,0.0,0.375,0.0,,,0.0,0.9,,,2020
marketer,0.0,0.0,0.0,0.0,,,,,,,2020
married,0.0,0.0,0.0,0.0,,,0.0,0.116,,,2020
masculine,0.0,0.0,0.0,0.0,,,0.0,0.094,,,2020
material,0.0,0.0,0.0,0.0,,,,,5.26,,2020
materialist,0.0,0.0,0.0,0.375,,,-0.23,0.0,,,2020
materialistic,0.0,0.0,0.125,0.5,,,0.0,0.764,,,2020
mature,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,,6.63,2020
maverick,0.0,0.0,0.0,0.0,,,0.0,0.119,,,2020
mean,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.24,2020
mechanic,0.0,0.0,0.0,0.0,,,0.0,0.803,,,2020
mediocre,0.0,0.0,0.778,0.222,1.0,0.0,-0.73,0.0,,3.21,2020
medium,0.0,0.0,0.0,0.0,,,0.0,0.171,,,2020
mellow,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.928,,6.33,2020
member,0.0,0.0,0.0,0.0,,,,,,,2020
men,0.0,0.0,0.0,0.0,,,,,,,2020
metrosexual,0.0,0.0,0.0,0.0,,,,,,,2020
middle,0.0,0.0,0.0,0.0,,,,,,,2020
middle_age,0.0,0.0,0.0,0.375,,,,,,,2020
middle_aged,0.0,0.0,0.0,0.0,,,,,,,2020
middle_class,0.0,0.0,0.0,0.0,,,,,,,2020
midwestern,0.0,0.0,0.0,0.0,,,,,,,2020
midwesterner,0.0,0.0,0.0,0.0,,,-0.09,0.0,,,2020
millennial,0.0,0.0,0.0,0.0,,,,,,,2020
millionaire,0.0,0.0,0.0,0.0,,,0.0,0.916,8.03,,2020
minded,0.0,0.0,0.5,0.0,,,,,,,2020
mindful,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.286,,,2020
minimalist,0.0,0.0,0.0,0.0,,,-0.35,0.0,,,2020
minority,0.0,0.0,0.0,0.0,,,-0.64,0.0,,,2020
mobile,0.0,0.0,0.0,0.0,,,,,,,2020
model,0.0,0.0,0.0,0.0,,,0.0,0.818,,,2020
moderately,0.0,0.0,0.25,0.125,,,,,,,2020
modern,0.0,0.0,0.0,0.0,,,0.0,0.894,,,2020
modernist,0.0,0.0,0.0,0.0,,,0.0,0.255,,,2020
modest,0.0,0.0,0.375,0.5,0.0,1.0,-0.84,0.0,5.76,6.36,2020
mogul,0.0,0.0,0.0,0.0,,,,,,,2020
mom,0.0,0.0,0.0,0.875,,,,,,,2020
money,0.0,0.0,0.0,0.0,,,0.0,0.065,7.59,,2020
moneymaker,0.0,0.0,0.0,0.0,,,,,,,2020
moral,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.809,6.2,,2020
moron,1.0,0.0,0.125,0.0,,,-0.88,0.0,,0.9,2020
mother,0.0,0.0,0.0,0.0,,,,,8.39,,2020
motivated,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2020
mover,0.0,0.0,0.0,0.0,,,,,,,2020
movie_star,0.0,0.0,0.0,0.0,,,0.0,0.7,,,2020
moving,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
muscular,0.0,0.0,0.0,0.0,,,0.0,0.843,6.82,6.24,2020
music,0.0,0.0,0.0,0.0,,,,,8.13,,2020
musician,0.0,0.0,0.0,0.0,,,0.0,0.004,,,2020
mysterious,0.0,0.0,0.375,0.5,,,0.0,0.9,,,2020
naive,0.0,0.0,0.125,0.625,1.0,0.0,-0.82,0.0,,2.82,2020
narcissist,0.0,0.0,0.0,0.5,,,-0.66,0.0,,,2020
narcissistic,0.0,0.0,0.0,0.25,,,-0.17,0.0,,,2020
natural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,6.59,6.36,2020
naturalist,0.0,0.0,0.0,0.0,,,-0.25,0.0,,,2020
nature,0.0,0.0,0.0,0.5,,,0.0,0.83,7.65,,2020
neat,0.0,1.0,0.375,0.5,0.0,1.0,0.0,0.164,,6.39,2020
need,0.0,0.0,0.125,0.125,1.0,0.0,,,,,2020
needing,0.0,0.0,0.25,0.25,,,,,,,2020
needy,1.0,0.0,0.0,0.0,1.0,0.0,-0.24,0.0,,,2020
nerd,1.0,0.0,0.5,0.0,,,0.0,0.9,,,2020
nerdy,1.0,0.0,0.0,0.0,,,,,,,2020
new,0.0,0.0,0.0,0.375,,,0.0,0.9,,,2020
new_yorker,0.0,0.0,0.0,0.0,,,,,,,2020
nice,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.123,6.55,7.76,2020
nice_guy,0.0,0.0,0.0,0.0,,,0.0,0.7,,,2020
nonconformist,0.0,0.0,0.625,0.0,,,,,,,2020
normal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9,,,2020
normie,0.0,0.0,0.0,0.0,,,,,,,2020
northerner,0.0,0.0,0.0,0.0,,,-0.14,0.0,,,2020
nostalgic,0.0,0.0,0.75,0.0,,,-0.12,0.0,,5.52,2020
nurse,0.0,0.0,0.0,0.0,0.0,1.0,,,6.08,,2020
nut,0.0,0.0,0.125,0.0,,,0.0,0.316,,,2020
oblivious,0.0,0.0,0.25,0.125,,,,,,,2020
obnoxious,1.0,0.0,0.625,0.0,1.0,0.0,,,3.5,1.6,2020
observant,0.0,0.0,0.0,0.5,,,0.0,0.974,,,2020
obsessed,1.0,0.0,0.0,0.0,,,,,,,2020
odd,0.0,0.0,0.375,0.5,1.0,0.0,-0.2,0.0,4.82,,2020
office_worker,0.0,0.0,0.0,0.0,,,,,,,2020
old,0.0,0.0,0.0,0.0,,,-0.81,0.0,,,2020
old_fashioned,0.0,0.0,0.0,0.0,,,0.0,0.826,,,2020
old_school,0.0,0.0,0.0,0.0,,,0.0,0.9,,,2020
older,0.0,0.0,0.0,0.5,,,0.0,0.259,,,2020
open,0.0,0.0,0.0,0.0,0.0,1.0,,,,,2020
openminded,0.0,1.0,0.0,0.0,,,,,,,2020
opinionated,0.0,0.0,0.25,0.25,1.0,0.0,-0.86,0.0,,,2020
opportunistic,0.0,1.0,0.0,0.125,,,-0.45,0.0,,,2020
optimist,0.0,0.0,0.0,0.0,,,0.0,0.85,,,2020
optimistic,0.0,1.0,0.25,0.5,0.0,1.0,0.0,0.346,,,2020
opulent,0.0,0.0,0.0,0.75,,,0.0,0.9,,5.97,2020
ordinary,0.0,0.0,0.0,0.0,,,-0.93,0.0,,,2020
